subj,fname,outl,maxc error,seg,,traj,note,t1,t2,t3,t4,t5,t6,t7,x1,x2,x3,x4,x5,x6,x7,y1,y2,y3,y4,y5,y6,y7,z1,z2,z3,z4,z5,z6,z7,v1,v2,v3,v4,v5,v6,v7,,,,DOns,DTarg,DOff
CTRL01,PD_oma's pad_c-center2_B01_R01_0046_01,,,s,sTT_XZ,TT_XZ,,1528,1560,1635,1660,1720,1853,1900,-22,-23,-25,-25,-25,-24,-24,X,X,X,X,X,X,X,3,6,12,12,12,8,7,10,11,3,0,1,4,2,,,,623,,
CTRL01,PD_oma's pad_c-center2_B01_R01_0046_01,,,p,pLA,LA,,1888,1938,1995,2028,2063,2123,2175,24,21,19,18,19,21,23,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2,7,1,0,1,6,1,,,,263,,
CTRL01,PD_oma's pad_c-center2_B01_R01_0046_01,,,ɑ,ɑTB_XZ,TB_XZ,,2043,2080,2105,2113,2130,2195,2238,-50,-50,-50,-50,-49,-47,-45,X,X,X,X,X,X,X,6,6,5,5,5,5,5,1,2,2,2,2,5,2,,,,108,,
CTRL01,PD_oma's pad_c-center2_B01_R01_0046_01,,,t,tTT_XZ,TT_XZ,OFFS unreliable,2150,2205,2273,2293,2303,2338,2443,-22,-20,-19,-19,-19,-20,-22,X,X,X,X,X,X,X,0,4,9,10,10,9,9,4,11,3,1,2,2,1,,,,,,
CTRL01,PD_oma's pad_c-center3_B01_R01_0066_01,,,s,sTT_XZ,TT_XZ,,2003,2055,2125,2150,2218,2300,2385,-24,-23,-24,-24,-24,-24,-22,X,X,X,X,X,X,X,0,5,11,11,10,5,0,4,12,3,0,2,9,3,,,,410,413,290
CTRL01,PD_oma's pad_c-center3_B01_R01_0066_01,,,p,pLA,LA,,2168,2220,2280,2300,2333,2393,2440,23,21,19,19,19,21,23,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2,6,1,0,1,6,1,,,,245,263,235
CTRL01,PD_oma's pad_c-center3_B01_R01_0066_01,,,ɑ,ɑTB_XZ,TB_XZ,,2235,2363,2413,2428,2453,2588,2648,-50,-47,-46,-46,-45,-45,-46,X,X,X,X,X,X,X,9,4,2,2,2,8,11,2,5,3,2,3,6,2,,,,178,135,28
CTRL01,PD_oma's pad_c-center3_B01_R01_0066_01,,,t,tTT_XZ,TT_XZ,,2413,2470,2543,2563,2573,2640,2675,-22,-20,-19,-19,-19,-19,-20,X,X,X,X,X,X,X,0,4,10,10,10,8,8,3,11,3,0,1,3,2,,,,,,
CTRL01,PD_oma's pad_c-center2_B01_R02_0052_01,,,s,sTT_XZ,TT_XZ,UL signal corrupted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTRL01,PD_oma's pad_c-center2_B01_R02_0052_01,,,p,pLA,LA,UL signal corrupted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
